form,xml_field_name,line_number,label
1120,@filedPursuantToSect30191002Cd,,"Form 1120, Top left margin - FILED PURSUANT TO SECTION 301.9100-2"
1120,@section1291InterestAmt,,"Form 1120, Top Left Margin - Section 1291 Interest Amount"
1120,@section1291InterestCd,,"Form 1120, Top Left Margin - Section 1291 Interest Indicator"
1120,@section1294InterestAmt,,"Form 1120, Top Left Margin - Section 1294 Interest Amount"
1120,@section1294InterestCd,,"Form 1120, Top Left Margin - Section 1294 Interest Indicator"
1120,@section501dCd,,"Form 1120, Top Left Margin - Section 501d Indicator"
1120,@shortPeriodReasonCd,,"Form 1120, Top left margin - Short Period Reason 1120 1120F Indicator"
1120,@subchapterTCoopIndicator,,"Form 1120, Top Left Margin - Subchapter T Cooperative Indicator"
1120,@suprtStmtToCnsldtReturnInd,,"Form 1120, Top left margin - Support Statement to Consolidated Return Indicator"
1120,AccountsPayableBOYAmt,,
1120,AccountsPayableEOYAmt,,
1120,AccumulatedAmortizationBOYAmt,,
1120,AccumulatedAmortizationEOYAmt,,
1120,AccumulatedDepletionBOYAmt,,
1120,AccumulatedDepletionEOYAmt,,
1120,AccumulatedDepreciationBOYAmt,,
1120,AccumulatedDepreciationEOYAmt,,
1120,AcquireForeignCorpStockInd,,
1120,AdditionalPaidInCapitalBOYAmt,,
1120,AdditionalPaidInCapitalEOYAmt,,
1120,AddressChangeInd,,
1120,AdjustmentToShrEqtyBOYAmt,,
1120,AdjustmentToShrEqtyEOYAmt,,
1120,AdvertisingAmt,,
1120,AlternativeTaxQlfyShipActyAmt,,
1120,AmendedReturnInd,,
1120,ApplicableCorpSect59k1CYInd,,
1120,ApplicableCorpSect59k1PYInd,,
1120,AqrOrRepurchasePubTradedStkInd,,
1120,BadDebtAllowanceBOYAmt,,
1120,BadDebtAllowanceEOYAmt,,
1120,BadDebtExpenseAmt,,
1120,BalanceAmt,,
1120,BalanceDueAmt,,
1120,BalanceIncomeOtherIncreasesAmt,,
1120,BaseErosionMinimumTaxAmt,,
1120,BeginningYearBalanceAmt,,
1120,BuildingOtherDeprecAstBOYAmt,,
1120,BuildingOtherDeprecAstEOYAmt,,
1120,CYGenBusinessCreditAllowedAmt,,
1120,CYRefundableMinimumTaxCrAmt,,
1120,CapitalCommonStockBOYAmt,,
1120,CapitalCommonStockEOYAmt,,
1120,CapitalGainNetIncomeAmt,,
1120,CapitalPreferredStockBOYAmt,,
1120,CapitalPreferredStockEOYAmt,,
1120,CapitalStockBOYAmt,,
1120,CapitalStockEOYAmt,,
1120,CashBOYAmt,,
1120,CashDistributionAmt,,
1120,CashEOYAmt,,
1120,CertainAffltCompanyDedAmt,,
1120,CertainAffltCompanyDivRcvdAmt,,
1120,CertainFSCDedAmt,,
1120,CertainFSCDivRcvdAmt,,
1120,CharitableContriExpnssAmt,,
1120,CharitableContributionsDedAmt,,
1120,CharitableContributionsTotAmt,,
1120,CnsldtRetGroSlsSpcfdBssAdjInd,,
1120,ConsolidatedReturnInd,,
1120,ControlledGroupMemberInd,,
1120,CooperativeBasisInd,,
1120,CorpAlternativeMinimumTaxAmt,13,
1120,CorpAlternativeMinimumTaxAmt/@IRS4626,3,Schedule J Line 3 - Form 4626 Indicator
1120,CorpOwnPercentPartnershipInfo,,
1120,CorpOwnPercentVotingStockInfo,,
1120,CorporationOwnPctPrtshpInd,,
1120,CorporationOwnedPctVtngStkInd,,
1120,CostOfGoodsSoldAmt,,
1120,CostOfTreasuryStockBOYAmt,,
1120,CostOfTreasuryStockEOYAmt,,
1120,CurrentYearAllowableCreditAmt,,
1120,CurrentYearMinimumTaxCreditAmt,,
1120,DebtFincdStockCorpDeductionAmt,,
1120,DebtFincdStockCorpDivRcvdAmt,,
1120,DepletableAssetsBOYAmt,,
1120,DepletableAssetsEOYAmt,,
1120,DepletionAmt,,
1120,DepreciationAmt,,
1120,DepreciationDeductionAmt,,
1120,DepreciationExpensesAmt,,
1120,DisposOver65PctAstTxblTransInd,,
1120,DistributionsOtherDecreasesAmt,,
1120,DivRcvdDedLimitationAmt,,
1120,DivRcvdLimitationAmt,,
1120,DomCorp20OrMoreOwnDeductionAmt,,
1120,DomCorp20OrMoreOwnDivRcvdAmt,,
1120,DomCorpBelow20OwnDeductionAmt,,
1120,DomCorpBelow20OwnDivRcvdAmt,,
1120,DomSmallBusInvstCoDedAmt,,
1120,DomSmallBusInvstCoDivRcvdAmt,,
1120,ElectivePaymentAmt,,
